name	x	y	z
FP1	80.79573128	26.09631015	-4.00404831
FPZ	84.9813581	0	-1.78010569
FP2	80.79573128	-26.09631015	-4.00404831
AF3	76.13031092	31.53420729	20.8511278
AF4	76.13031092	-31.53420729	20.8511278
F7	49.88651615	68.41148946	-7.49690713
F5	54.04606586	63.056627	18.10758283
F3	57.57616305	48.14114469	39.90508284
F1	59.88778235	26.03994887	54.40932446
FZ	60.73017777	0	59.47138394
F2	59.88778235	-26.03994887	54.40932446
F4	57.57616305	-48.14114469	39.90508284
F6	54.02541668	-63.0325352	18.25250281
F8	49.88728633	-68.41254564	-7.482129533
FT7	26.27462768	80.38732447	-8.515985237
FC5	28.80808576	76.2383868	24.1413043
FC3	30.98962942	59.27769381	52.44804939
FC1	32.43878889	32.32575332	71.60845375
FCZ	32.93882485	0	78.35836789
FC2	32.43878889	-32.32575332	71.60845375
FC4	30.98962942	-59.27769381	52.44804939
FC6	28.80808576	-76.2383868	24.1413043
FT8	26.27462768	-80.38732447	-8.515985237
T7	5.18E-15	84.53900165	-8.840656074
C5	4.95E-15	80.83980389	26.26644452
C3	3.87E-15	63.16731017	56.87610154
C1	2.12E-15	34.57261466	77.6513639
CZ	5.20E-15	0	85
C2	2.12E-15	-34.57261466	77.6513639
C4	3.87E-15	-63.16731017	56.87610154
C6	4.95E-15	-80.83980389	26.26644452
T8	5.18E-15	-84.53900165	-8.840656074
HEO	55.77342446	50.21861695	-39.90508284
TP7	-26.13428539	80.43305989	-8.515985237
CP5	-29.2068723	76.08650365	24.1413043
CP3	-31.40270724	59.05990259	52.44804939
CP1	-32.38232042	32.38232042	71.60845375
CPZ	-32.93882485	-4.03E-15	78.35836789
CP2	-32.38232042	-32.38232042	71.60845375
CP4	-31.40270724	-59.05990259	52.44804939
CP6	-29.2068723	-76.08650365	24.1413043
TP8	-26.13474429	-80.43447224	-8.501224452
M2	-10.52764446	-59.70523863	-59.57728747
P7	-49.76703965	68.49845361	-7.49690713
P5	-54.48496352	62.6777807	18.10758283
P3	-57.49205325	48.24156068	39.90508284
P1	-60.11274055	25.51634449	54.40932446
PZ	-60.73017777	-7.44E-15	59.47138394
P2	-60.11274055	-25.51634449	54.40932446
P4	-57.49205325	-48.24156068	39.90508284
P6	-54.46414666	-62.65383364	18.25250281
P8	-49.76780799	-68.49951114	-7.482129533
PO7	-68.5972543	49.83882256	-5.958898228
PO5	-72.45609254	43.53601261	8.929180246
PO3	-76.40259649	30.8686527	20.8511278
POZ	-79.0310013	-9.68E-15	31.29058698
PO4	-76.40259649	-30.8686527	20.8511278
PO6	-72.45609254	-43.53601261	8.929180246
PO8	-68.5972543	-49.83882256	-5.958898228
CB1	-83.90489164	13.2892293	-2.892324793
O1	-80.75006159	26.23728548	-4.00404831
OZ	-84.9813581	-1.04E-14	-1.78010569
O2	-80.75006159	-26.23728548	-4.00404831
CB2	-83.90489164	-13.2892293	-2.892324793
VEO	62.03893434	-31.61041591	-48.75399709
